task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,perplexity,bleu,chrf,rouge_l,codebleu,ast_similarity,codebert_score,bertscore,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,canon_perplexity,n_output_tokens
HumanEval_18,humaneval,pass,0,,0,,0,10.000,3.000,85.169,30.881,2.625,81.062,3.000,10.000,1.000,2.427,9.023,25.780,27.907,17.764,56.000,81.112,89.568,6.000,3.000,88.953,53.774,1.667,89.624,3.000,0.000,2.000,2.664,83
HumanEval_19,humaneval,pass,1,dead_code,1,dead_code,0,9.000,1.000,100.000,0.000,0.000,0.000,0.000,44.444,3.000,2.605,66.715,73.127,66.667,67.741,77.876,92.221,95.533,15.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,2.418,249
HumanEval_20,humaneval,pass,1,magic_number,1,magic_number,0,13.000,4.000,89.492,79.954,1.909,152.640,4.000,23.077,5.000,2.015,11.890,35.073,23.077,12.986,50.820,75.683,88.046,16.000,6.000,88.998,51.891,2.857,148.261,16.000,0.000,4.000,2.048,336
HumanEval_21,humaneval,pass,0,,0,,0,5.000,2.000,98.578,25.266,1.200,30.319,0.000,0.000,2.000,2.567,66.159,60.314,75.000,69.436,100.000,96.269,98.390,5.000,2.000,98.578,25.266,1.200,30.319,0.000,0.000,2.000,2.547,159
HumanEval_22,humaneval,pass,0,,0,,0,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.366,45.788,68.385,70.000,57.311,100.000,97.052,96.863,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.402,105
HumanEval_23,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.629,100.000,100.000,100.000,65.811,100.000,100.000,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.747,47
HumanEval_24,humaneval,pass,0,,0,,0,5.000,3.000,99.902,34.869,2.800,97.634,3.000,0.000,1.000,3.068,53.393,63.097,78.571,53.472,78.571,89.407,95.315,4.000,3.000,100.000,15.510,1.000,15.510,3.000,0.000,2.000,3.509,85
HumanEval_25,humaneval,pass,1,magic_number,1,magic_number,0,15.000,5.000,86.036,114.221,10.000,1142.206,5.000,20.000,1.000,3.155,37.152,47.827,50.746,32.696,75.610,87.590,93.546,14.000,4.000,89.335,77.709,6.000,466.255,5.000,0.000,3.000,3.078,245
HumanEval_26,humaneval,fail,0,,0,,0,9.000,3.000,74.039,4.755,0.500,2.377,3.000,0.000,3.000,1.614,4.052,25.713,22.222,18.810,37.838,78.617,83.406,5.000,3.000,100.000,4.755,0.500,2.377,0.000,0.000,1.000,2.893,58
HumanEval_27,humaneval,pass,0,,0,,0,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,3.084,15.845,63.566,36.364,45.268,58.333,87.121,92.180,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.628,28
HumanEval_28,humaneval,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.074,100.000,100.000,100.000,65.811,100.000,100.000,100.000,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.071,62
HumanEval_29,humaneval,pass,0,,0,,0,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.387,45.788,75.418,70.000,58.153,100.000,98.350,98.344,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.800,40
HumanEval_30,humaneval,pass,0,,0,,0,3.000,3.000,84.447,4.755,0.500,2.377,0.000,0.000,0.000,2.897,24.808,46.285,66.667,57.359,100.000,97.467,97.348,2.000,3.000,71.799,4.755,0.500,2.377,0.000,0.000,0.000,3.216,36
HumanEval_31,humaneval,pass,0,,0,,0,7.000,4.000,67.905,53.774,3.571,192.052,4.000,0.000,2.000,1.945,48.717,74.040,79.070,58.969,86.842,92.718,97.152,7.000,4.000,68.815,39.863,2.667,106.302,4.000,0.000,1.000,2.123,152
HumanEval_32,humaneval,fail,2,dead_code;magic_number,2,dead_code;magic_number,0,15.000,6.000,83.000,103.726,3.429,355.633,4.000,6.667,9.000,3.532,100.000,100.000,100.000,100.000,100.000,100.000,100.000,15.000,6.000,82.771,156.080,4.312,673.095,5.000,0.000,4.000,3.619,371
HumanEval_33,humaneval,pass,0,,0,,0,7.000,4.000,99.777,25.266,2.250,56.849,1.000,42.857,3.000,2.772,4.019,18.755,22.222,20.480,44.000,78.957,86.328,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,4.014,122
HumanEval_34,humaneval,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,3.237,57.794,70.323,88.889,45.486,86.957,97.963,97.099,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,3.788,92
HumanEval_35,humaneval,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.706,0.518,19.059,11.765,25.390,27.778,77.019,81.301,6.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,2.918,26
