task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_58,mbpp,pass,0,,0,,0,2.000,1.000,84.962,15.510,1.000,15.510,0.000,0.000,0.000,80.366,88.451,100.000,43.652,100.000,2.000,1.000,84.962,15.510,1.000,15.510,0.000,0.000,0.000,33
mbpp_424,mbpp,pass,0,,0,,0,2.000,2.000,91.057,2.000,0.500,1.000,0.000,0.000,0.000,33.769,60.005,64.516,10.532,57.143,3.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,2.000,38
mbpp_442,mbpp,pass,0,,0,,0,5.000,4.000,74.550,24.000,1.500,36.000,1.000,0.000,3.000,22.011,39.654,47.273,18.745,68.889,10.000,3.000,67.760,27.000,1.800,48.600,4.000,0.000,2.000,65
HumanEval_14,humaneval,pass,0,,0,,0,3.000,2.000,99.651,4.755,0.500,2.377,0.000,0.000,2.000,35.178,45.786,56.000,12.928,49.180,6.000,2.000,100.000,4.755,0.500,2.377,1.000,0.000,3.000,115
mbpp_22,mbpp,pass,0,,0,,0,7.000,3.000,73.706,11.610,1.000,11.610,3.000,0.000,2.000,14.557,38.169,45.614,17.933,70.103,9.000,3.000,71.325,11.610,1.000,11.610,4.000,0.000,4.000,61
HumanEval_40,humaneval,pass,0,,0,,0,8.000,5.000,75.263,51.891,1.111,57.657,10.000,0.000,2.000,77.095,80.599,82.353,60.135,91.156,7.000,5.000,70.781,51.891,1.111,57.657,10.000,0.000,2.000,308
mbpp_150,mbpp,fail,0,,0,,0,6.000,4.000,68.249,108.000,5.400,583.200,3.000,0.000,0.000,37.966,57.327,64.151,50.325,66.000,6.000,4.000,68.608,96.000,4.800,460.800,3.000,0.000,0.000,71
mbpp_92,mbpp,pass,1,magic_number,1,magic_number,0,5.000,4.000,72.001,55.507,2.222,123.348,2.000,0.000,5.000,53.006,63.261,61.017,37.874,55.462,7.000,4.000,71.005,27.000,1.800,48.600,4.000,0.000,2.000,79
HumanEval_16,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,100.000,100.000,100.000,65.811,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,118
HumanEval_107,humaneval,pass,0,,0,,0,11.000,4.000,78.417,76.147,2.600,197.982,7.000,0.000,2.000,40.742,41.052,56.522,39.152,58.750,11.000,6.000,75.526,140.554,3.281,461.193,6.000,0.000,3.000,373
HumanEval_114,humaneval,pass,0,,0,,0,10.000,4.000,95.777,25.266,2.250,56.849,5.000,0.000,1.000,24.573,37.376,45.946,25.103,67.213,12.000,5.000,92.380,49.829,3.000,149.487,4.000,0.000,1.000,206
HumanEval_47,humaneval,pass,0,,0,,0,8.000,2.000,94.572,68.532,4.500,308.396,2.000,0.000,2.000,31.819,42.220,40.000,28.546,71.318,6.000,2.000,92.993,98.099,4.364,428.069,2.000,0.000,2.000,159
mbpp_249,mbpp,pass,0,,0,,0,3.000,1.000,81.991,4.755,0.500,2.377,0.000,0.000,2.000,78.264,81.846,80.000,64.669,100.000,3.000,1.000,81.991,4.755,0.500,2.377,0.000,0.000,2.000,62
HumanEval_59,humaneval,pass,0,,0,,0,11.000,4.000,91.899,77.709,8.167,634.625,4.000,0.000,0.000,5.974,24.874,27.778,8.900,36.111,13.000,4.000,89.249,101.950,3.692,376.432,15.000,0.000,3.000,178
mbpp_475,mbpp,pass,0,,0,,0,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,45.876,75.377,64.706,50.946,84.444,5.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,51
HumanEval_86,humaneval,pass,0,,0,,0,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,59.019,67.803,76.190,44.567,90.566,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,238
mbpp_162,mbpp,pass,0,,0,,0,6.000,2.000,72.936,25.266,2.250,56.849,1.000,0.000,0.000,30.237,36.568,58.065,17.582,49.057,5.000,2.000,74.663,25.266,2.250,56.849,3.000,0.000,1.000,45
mbpp_79,mbpp,pass,0,,0,,0,2.000,1.000,84.962,15.510,1.000,15.510,0.000,0.000,1.000,22.540,38.683,53.333,11.898,60.000,7.000,3.000,72.825,15.510,1.000,15.510,4.000,0.000,2.000,28
HumanEval_99,humaneval,pass,0,,0,,0,6.000,2.000,66.230,39.000,2.400,93.600,2.000,0.000,2.000,3.172,20.120,34.921,13.882,35.211,16.000,6.000,84.216,77.709,1.950,151.533,8.000,6.250,7.000,252
mbpp_375,mbpp,fail,0,,0,,0,2.000,1.000,85.289,13.932,1.333,18.575,0.000,0.000,1.000,26.115,45.079,51.613,16.087,42.424,4.000,2.000,73.926,64.529,4.286,276.554,1.000,0.000,0.000,27
mbpp_46,mbpp,pass,0,,0,,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,2.000,63.048,67.779,72.000,39.628,86.364,5.000,2.000,79.742,4.755,0.500,2.377,2.000,0.000,2.000,30
mbpp_330,mbpp,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,63.797,82.176,100.000,71.213,100.000,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,41
mbpp_383,mbpp,fail,0,,0,,0,3.000,1.000,84.716,4.755,0.500,2.377,0.000,0.000,0.000,6.422,29.792,38.095,12.692,37.975,8.000,3.000,63.837,98.099,7.111,697.594,3.000,0.000,0.000,41
HumanEval_43,humaneval,pass,0,,0,,0,7.000,3.000,75.603,11.610,1.000,11.610,3.000,0.000,2.000,5.561,31.479,40.000,19.447,50.000,6.000,4.000,67.079,27.000,1.000,27.000,6.000,0.000,3.000,278
mbpp_290,mbpp,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,33.567,49.196,47.619,15.794,53.731,4.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,44
