task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_85,mbpp,pass,0,,0,,0,3.000,1.000,79.888,23.265,0.600,13.959,0.000,0.000,0.000,74.792,66.385,84.615,44.452,85.714,4.000,1.000,77.163,23.265,0.600,13.959,0.000,0.000,0.000,38
mbpp_325,mbpp,pass,0,,0,,0,11.000,4.000,62.337,114.221,4.000,456.883,4.000,0.000,2.000,28.978,38.941,43.373,20.808,62.500,11.000,4.000,64.182,62.270,5.000,311.349,6.000,0.000,3.000,129
mbpp_130,mbpp,pass,0,,0,,0,8.000,4.000,71.425,15.510,1.000,15.510,4.000,0.000,3.000,17.213,30.451,31.746,13.738,62.069,7.000,2.000,75.290,4.755,0.500,2.377,1.000,0.000,3.000,101
mbpp_371,mbpp,pass,0,,0,,0,10.000,4.000,64.880,66.608,3.750,249.780,5.000,0.000,1.000,35.514,43.153,47.619,41.977,84.138,8.000,3.000,66.659,77.709,4.375,339.978,4.000,0.000,1.000,117
HumanEval_79,humaneval,pass,0,,0,,0,2.000,1.000,51.391,12.000,0.667,8.000,0.000,0.000,1.000,100.000,100.000,100.000,100.000,100.000,2.000,1.000,51.391,12.000,0.667,8.000,0.000,0.000,1.000,207
mbpp_25,mbpp,pass,0,,0,,0,8.000,3.000,70.444,15.510,1.000,15.510,3.000,0.000,2.000,25.650,33.702,42.857,18.577,50.909,7.000,3.000,70.972,28.529,1.500,42.794,3.000,0.000,2.000,82
mbpp_134,mbpp,fail,0,,0,,0,4.000,2.000,75.532,38.054,2.000,76.107,1.000,0.000,0.000,23.804,37.526,50.980,17.003,67.416,10.000,4.000,66.441,39.863,1.714,68.337,5.000,0.000,1.000,61
mbpp_327,mbpp,pass,0,,0,,0,4.000,4.000,75.188,39.000,1.500,58.500,2.000,0.000,0.000,22.340,55.950,51.282,42.371,100.000,5.000,4.000,73.074,39.000,1.500,58.500,3.000,0.000,0.000,44
mbpp_150,mbpp,fail,0,,0,,0,13.000,9.000,57.813,240.809,10.286,2476.896,9.000,0.000,0.000,25.589,55.027,55.000,48.726,52.229,6.000,4.000,68.608,96.000,4.800,460.800,3.000,0.000,0.000,135
HumanEval_114,humaneval,pass,0,,0,,0,7.000,2.000,100.000,4.755,0.500,2.377,1.000,0.000,2.000,24.713,39.346,43.478,23.515,50.847,12.000,5.000,92.380,49.829,3.000,149.487,4.000,0.000,1.000,191
HumanEval_151,humaneval,pass,0,,0,,0,2.000,5.000,48.822,57.359,3.929,225.341,1.000,0.000,2.000,29.583,45.335,56.410,37.028,75.325,2.000,5.000,48.037,74.231,4.333,321.667,1.000,0.000,2.000,231
mbpp_152,mbpp,pass,0,,0,,0,18.000,5.000,56.098,98.099,3.333,326.997,7.000,0.000,4.000,19.154,36.149,19.580,25.886,34.402,22.000,8.000,53.612,155.115,4.053,628.622,11.000,0.000,5.000,189
HumanEval_27,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,100.000,100.000,100.000,65.811,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,89
mbpp_209,mbpp,pass,0,,0,,0,5.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,50.183,78.395,70.588,48.439,100.000,5.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,59
mbpp_413,mbpp,pass,0,,0,,0,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,49.041,68.364,62.500,41.540,82.927,3.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,45
HumanEval_77,humaneval,pass,0,,0,,0,6.000,3.000,74.524,66.608,3.750,249.780,3.000,0.000,2.000,25.605,41.011,34.286,21.888,55.422,3.000,1.000,51.023,38.039,2.000,76.078,0.000,0.000,3.000,216
mbpp_62,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,59.230,77.803,71.429,55.103,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,25
mbpp_38,mbpp,pass,0,,0,,0,4.000,5.000,74.185,51.891,2.857,148.261,0.000,0.000,1.000,31.435,39.082,63.636,30.860,93.103,4.000,5.000,73.261,70.308,3.750,263.656,0.000,0.000,1.000,70
mbpp_446,mbpp,pass,0,,0,,0,6.000,3.000,74.285,15.510,1.000,15.510,3.000,0.000,0.000,87.116,77.571,90.476,77.813,96.667,7.000,3.000,72.825,15.510,1.000,15.510,3.000,0.000,0.000,54
mbpp_336,mbpp,pass,1,magic_number,1,magic_number,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,0.000,34.836,51.716,42.105,32.476,75.000,5.000,2.000,79.742,4.755,0.500,2.377,2.000,0.000,0.000,25
