task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_126,mbpp,fail,0,,0,,0,2.000,4.000,80.040,68.532,2.400,164.478,2.000,0.000,3.000,51.578,57.230,72.000,29.030,76.471,6.000,4.000,69.719,66.608,2.667,177.621,4.000,0.000,2.000,44
mbpp_127,mbpp,pass,0,,0,,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,1.000,3.841,19.702,20.000,8.337,36.111,9.000,4.000,65.918,65.729,5.000,328.646,5.000,0.000,1.000,21
mbpp_128,mbpp,fail,0,,0,,0,2.000,3.000,88.288,4.755,0.500,2.377,0.000,0.000,1.000,14.378,32.865,50.000,15.126,58.824,7.000,3.000,76.420,4.755,0.500,2.377,3.000,0.000,3.000,27
mbpp_129,mbpp,fail,0,,0,,0,9.000,9.000,87.463,127.438,3.571,455.135,6.000,22.222,3.000,23.477,37.337,41.975,20.804,53.722,17.000,7.000,60.012,55.351,2.857,158.145,4.000,0.000,6.000,127
mbpp_130,mbpp,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,8.882,32.675,31.818,12.488,40.000,7.000,2.000,75.290,4.755,0.500,2.377,1.000,0.000,3.000,28
mbpp_131,mbpp,fail,1,magic_number,1,magic_number,0,2.000,3.000,83.366,24.000,1.500,36.000,1.000,0.000,3.000,5.571,20.603,25.397,6.951,30.252,13.000,5.000,61.864,60.229,3.000,180.686,7.000,0.000,0.000,48
mbpp_132,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,38.246,64.669,50.000,22.039,74.074,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,18
mbpp_133,mbpp,pass,0,,0,,1,1.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,2.000,18.788,34.372,42.857,27.177,76.923,3.000,1.000,81.991,4.755,0.500,2.377,0.000,0.000,3.000,26
mbpp_134,mbpp,fail,0,,0,,0,2.000,2.000,83.500,24.000,1.500,36.000,1.000,0.000,0.000,17.572,34.339,43.478,8.824,48.000,10.000,4.000,66.441,39.863,1.714,68.337,5.000,0.000,1.000,36
mbpp_135,mbpp,pass,0,,0,,0,2.000,1.000,83.478,25.266,1.200,30.319,0.000,0.000,0.000,100.000,100.000,100.000,59.809,100.000,2.000,1.000,83.478,25.266,1.200,30.319,0.000,0.000,0.000,23
