task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
HumanEval_76,humaneval,fail,0,,0,,6,8.000,1.000,100.000,15.510,1.000,15.510,0.000,75.000,4.000,5.545,10.991,32.000,9.795,41.935,7.000,3.000,83.659,42.110,3.750,157.914,2.000,0.000,0.000,127
HumanEval_77,humaneval,pass,1,dead_code,1,dead_code,6,11.000,1.000,65.349,48.432,2.571,124.540,0.000,0.000,4.000,67.730,67.637,74.074,55.609,78.788,3.000,1.000,51.023,38.039,2.000,76.078,0.000,0.000,3.000,97
HumanEval_78,humaneval,fail,0,,0,,0,7.000,3.000,72.825,15.510,1.000,15.510,3.000,0.000,0.000,7.691,25.946,43.077,19.463,68.627,7.000,3.000,69.004,15.510,1.000,15.510,3.000,0.000,2.000,197
HumanEval_79,humaneval,pass,0,,0,,2,5.000,1.000,100.000,12.000,0.667,8.000,0.000,60.000,3.000,56.811,82.117,57.143,50.553,61.538,2.000,1.000,51.391,12.000,0.667,8.000,0.000,0.000,1.000,90
HumanEval_80,humaneval,pass,1,magic_number,1,magic_number,6,13.000,6.000,60.000,133.980,3.500,468.929,5.000,0.000,4.000,100.000,100.000,97.222,93.137,80.460,7.000,6.000,79.735,133.980,3.500,468.929,5.000,0.000,2.000,146
HumanEval_81,humaneval,pass,1,magic_number,1,magic_number,1,31.000,14.000,61.175,140.648,1.846,259.658,15.000,3.226,3.000,62.918,81.050,74.545,52.547,100.000,30.000,14.000,79.179,140.648,1.846,259.658,15.000,0.000,1.000,331
HumanEval_82,humaneval,pass,1,magic_number,1,magic_number,4,13.000,1.000,91.406,55.507,3.125,173.458,8.000,38.462,6.000,39.038,66.858,52.632,43.777,62.000,8.000,5.000,92.268,49.829,2.143,106.776,5.000,0.000,2.000,132
HumanEval_83,humaneval,pass,1,magic_number,1,magic_number,0,6.000,4.000,96.302,92.000,4.500,414.000,4.000,0.000,2.000,12.400,29.026,22.857,24.048,27.500,3.000,2.000,93.062,41.513,2.286,94.887,1.000,0.000,0.000,173
HumanEval_84,humaneval,fail,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,13.194,32.081,53.333,35.594,59.459,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,16
HumanEval_85,humaneval,pass,0,,0,,0,2.000,4.000,73.011,53.774,2.500,134.436,1.000,0.000,3.000,54.612,68.670,83.333,39.980,85.366,2.000,3.000,86.982,15.510,1.000,15.510,0.000,0.000,3.000,150
