task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_350,mbpp,fail,0,,0,,0,15.000,6.000,57.751,76.147,3.611,274.976,5.000,53.333,7.000,3.100,11.776,8.116,9.580,28.708,10.000,4.000,65.434,55.507,2.222,123.348,4.000,0.000,3.000,769
mbpp_183,mbpp,fail,0,,0,,0,28.000,16.000,69.375,192.718,4.789,923.018,17.000,39.286,5.000,4.125,13.544,10.638,30.986,29.861,7.000,5.000,67.419,84.000,2.333,196.000,7.000,0.000,1.000,1033
mbpp_218,mbpp,fail,0,,0,,0,20.000,12.000,34.235,213.617,7.059,1507.887,13.000,35.000,4.000,0.702,5.171,6.250,26.090,30.303,6.000,2.000,72.936,25.266,2.250,56.849,1.000,0.000,2.000,1371
mbpp_314,mbpp,pass,1,magic_number,1,magic_number,0,30.000,18.000,67.925,176.467,3.789,668.715,18.000,20.000,7.000,7.244,22.075,13.765,34.149,29.396,8.000,2.000,75.290,4.755,0.500,2.377,1.000,0.000,2.000,1105
mbpp_456,mbpp,pass,0,,0,,0,12.000,6.000,67.432,27.000,1.500,40.500,5.000,33.333,5.000,3.870,21.935,7.568,31.193,33.058,3.000,2.000,84.490,2.000,0.500,1.000,0.000,0.000,0.000,436
mbpp_332,mbpp,pass,0,,0,,0,11.000,4.000,64.927,24.000,1.500,36.000,3.000,36.364,5.000,3.258,17.161,13.174,20.497,46.667,9.000,3.000,70.444,15.510,1.000,15.510,4.000,0.000,1.000,431
mbpp_217,mbpp,pass,1,magic_number,1,magic_number,0,11.000,5.000,59.661,24.000,1.500,36.000,5.000,36.364,5.000,4.010,19.577,13.198,19.228,58.333,8.000,3.000,75.155,4.755,0.500,2.377,4.000,0.000,0.000,443
mbpp_285,mbpp,pass,0,,0,,0,13.000,5.000,66.029,24.000,1.500,36.000,5.000,30.769,6.000,9.967,35.868,21.463,40.619,44.000,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,519
mbpp_309,mbpp,pass,0,,0,,0,15.000,10.000,69.189,85.952,3.500,300.831,10.000,33.333,4.000,4.095,13.379,8.989,64.423,22.500,5.000,2.000,79.742,4.755,0.500,2.377,2.000,0.000,0.000,660
mbpp_335,mbpp,pass,0,,0,,0,16.000,12.000,44.426,226.998,5.438,1234.300,12.000,50.000,4.000,2.979,8.857,7.080,36.103,32.353,3.000,1.000,76.603,68.532,2.400,164.478,0.000,0.000,0.000,854
mbpp_346,mbpp,pass,0,,0,,0,20.000,13.000,68.059,261.519,9.000,2353.669,12.000,20.000,5.000,4.267,17.569,11.494,40.729,25.237,6.000,4.000,68.941,86.039,4.000,344.156,4.000,0.000,1.000,850
mbpp_276,mbpp,fail,0,,0,,0,17.000,13.000,55.761,218.725,5.250,1148.305,12.000,41.176,5.000,2.964,12.377,7.038,42.833,21.239,3.000,1.000,79.888,23.265,0.600,13.959,0.000,0.000,0.000,874
HumanEval_15,humaneval,pass,0,,0,,0,8.000,6.000,60.324,48.432,3.750,181.620,4.000,75.000,7.000,12.594,34.754,27.119,35.276,43.137,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,3.000,507
mbpp_20,mbpp,pass,0,,0,,0,13.000,7.000,64.277,110.446,7.650,844.913,8.000,23.077,3.000,3.087,19.558,15.517,26.460,49.383,13.000,5.000,61.231,93.405,5.143,480.367,5.000,0.000,0.000,538
mbpp_73,mbpp,pass,0,,0,,0,9.000,3.000,47.683,11.610,1.000,11.610,2.000,44.444,4.000,4.098,16.320,9.050,42.834,36.842,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,565
HumanEval_107,humaneval,pass,0,,0,,0,17.000,8.000,65.996,157.891,6.188,976.951,11.000,64.706,6.000,27.290,39.832,37.838,46.117,51.304,11.000,6.000,75.526,140.554,3.281,461.193,6.000,0.000,3.000,807
HumanEval_31,humaneval,pass,1,magic_number,1,magic_number,0,17.000,10.000,55.983,232.193,6.417,1489.904,10.000,64.706,3.000,7.823,35.267,28.261,41.010,33.735,7.000,4.000,68.815,39.863,2.667,106.302,4.000,0.000,1.000,722
mbpp_220,mbpp,pass,0,,0,,0,14.000,7.000,53.229,57.359,2.500,143.399,6.000,57.143,5.000,4.820,17.312,9.594,39.945,28.788,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,713
mbpp_444,mbpp,pass,0,,0,,0,25.000,11.000,79.036,114.694,4.958,568.691,14.000,12.000,7.000,2.959,17.975,10.601,30.871,30.328,6.000,2.000,76.555,4.755,0.500,2.377,1.000,0.000,5.000,654
mbpp_359,mbpp,pass,1,magic_number,1,magic_number,0,13.000,9.000,51.016,153.247,4.278,655.558,9.000,76.923,5.000,4.192,11.581,8.924,34.533,24.870,5.000,2.000,72.475,51.891,1.111,57.657,2.000,0.000,0.000,912
HumanEval_145,humaneval,pass,0,,0,,0,21.000,8.000,54.118,73.574,3.000,220.723,13.000,38.095,12.000,6.258,23.493,18.018,18.382,37.874,8.000,1.000,90.422,41.209,2.000,82.418,3.000,0.000,4.000,1122
mbpp_82,mbpp,pass,0,,0,,0,19.000,8.000,66.632,78.138,4.333,338.597,9.000,36.842,6.000,4.248,16.352,9.187,36.084,32.500,4.000,1.000,74.846,49.829,1.250,62.286,0.000,0.000,0.000,725
mbpp_202,mbpp,fail,0,,0,,0,7.000,3.000,42.088,11.610,1.000,11.610,2.000,71.429,4.000,2.182,14.392,9.091,13.178,47.619,6.000,3.000,70.504,53.774,2.500,134.436,3.000,0.000,2.000,460
mbpp_246,mbpp,pass,0,,0,,0,31.000,18.000,65.783,285.000,9.690,2761.786,18.000,22.581,7.000,2.340,13.567,7.229,23.237,30.721,10.000,3.000,64.642,75.284,3.500,263.495,2.000,0.000,0.000,1057
HumanEval_35,humaneval,pass,0,,0,,0,16.000,8.000,78.842,46.605,2.000,93.209,9.000,31.250,6.000,3.517,11.999,13.462,35.890,35.583,6.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,593
mbpp_406,mbpp,pass,0,,0,,0,11.000,5.000,43.735,50.189,2.250,112.926,5.000,63.636,6.000,3.089,13.437,5.678,13.945,36.364,9.000,2.000,64.139,128.927,2.750,354.550,1.000,0.000,0.000,691
HumanEval_78,humaneval,fail,0,,0,,0,19.000,8.000,80.976,66.417,3.667,243.530,9.000,31.579,5.000,11.464,32.188,27.027,35.621,45.161,7.000,3.000,69.004,15.510,1.000,15.510,3.000,0.000,2.000,748
mbpp_469,mbpp,pass,0,,0,,0,29.000,16.000,66.553,383.179,7.833,3001.567,20.000,44.828,8.000,7.621,24.836,14.259,20.166,51.745,15.000,9.000,58.103,140.182,3.929,550.713,17.000,0.000,3.000,1105
HumanEval_46,humaneval,pass,0,,0,,0,13.000,6.000,73.885,95.908,2.885,276.658,5.000,53.846,5.000,13.766,25.738,25.210,21.790,43.404,8.000,3.000,76.326,95.184,2.045,194.694,2.000,0.000,3.000,593
mbpp_207,mbpp,pass,0,,0,,0,16.000,9.000,61.555,229.062,9.423,2158.471,11.000,56.250,6.000,19.610,38.572,33.696,35.339,79.070,10.000,7.000,61.813,159.909,7.778,1243.736,8.000,0.000,3.000,716
mbpp_177,mbpp,pass,0,,0,,0,20.000,12.000,72.297,180.942,5.688,1029.110,13.000,45.000,4.000,0.747,6.896,6.799,31.500,24.859,5.000,2.000,73.851,33.000,2.100,69.300,2.000,0.000,0.000,775
mbpp_14,mbpp,pass,0,,0,,0,15.000,8.000,63.155,66.417,2.000,132.834,10.000,40.000,6.000,1.427,7.293,2.909,28.305,18.182,2.000,1.000,83.276,27.000,1.000,27.000,0.000,0.000,0.000,649
mbpp_479,mbpp,pass,1,magic_number,1,magic_number,0,15.000,7.000,58.194,41.209,3.200,131.869,7.000,40.000,5.000,4.430,13.069,8.943,37.808,27.350,4.000,2.000,79.041,12.000,2.000,24.000,1.000,0.000,1.000,584
mbpp_205,mbpp,pass,0,,0,,0,17.000,7.000,79.430,41.513,2.000,83.026,7.000,23.529,7.000,3.465,17.073,7.971,23.001,22.086,3.000,1.000,84.624,2.000,0.500,1.000,0.000,0.000,3.000,723
mbpp_160,mbpp,pass,0,,0,,0,34.000,26.000,63.274,638.753,18.200,11625.314,40.000,29.412,4.000,3.515,12.715,10.730,24.490,22.278,9.000,3.000,65.155,127.438,5.833,743.387,3.000,0.000,1.000,1137
mbpp_65,mbpp,pass,0,,0,,0,24.000,7.000,79.697,34.869,1.750,61.021,9.000,25.000,6.000,6.358,27.535,17.021,26.083,35.294,8.000,3.000,70.076,25.266,1.200,30.319,5.000,0.000,2.000,721
mbpp_156,mbpp,pass,0,,0,,0,30.000,8.000,82.201,25.266,1.000,25.266,15.000,13.333,9.000,2.026,11.800,7.977,17.421,20.325,3.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,933
mbpp_384,mbpp,pass,0,,0,,0,20.000,11.000,78.612,96.000,3.409,327.273,11.000,40.000,6.000,4.292,17.248,10.738,15.950,22.222,10.000,4.000,67.626,27.000,1.800,48.600,4.000,0.000,1.000,643
