task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_162,mbpp,fail,0,,0,,0,7.000,2.000,67.130,105.486,2.250,237.344,1.000,0.000,0.000,25.233,40.718,46.154,17.734,43.038,5.000,2.000,74.663,25.266,2.250,56.849,3.000,0.000,1.000,205
mbpp_163,mbpp,pass,0,,0,,0,3.000,1.000,77.340,53.774,1.667,89.624,0.000,0.000,1.000,35.421,45.010,54.054,20.524,80.556,4.000,1.000,74.615,53.774,1.667,89.624,0.000,0.000,1.000,230
mbpp_164,mbpp,pass,0,,0,,0,8.000,1.000,68.958,39.863,1.714,68.337,6.000,0.000,2.000,20.356,34.810,39.437,22.008,65.185,11.000,4.000,62.576,110.361,4.909,541.775,3.000,0.000,2.000,240
mbpp_165,mbpp,fail,1,magic_number,0,,3,5.000,4.000,94.258,70.324,1.500,105.486,1.000,20.000,6.000,12.323,38.448,26.316,15.428,37.879,7.000,4.000,69.554,70.324,2.182,153.434,4.000,0.000,3.000,193
mbpp_166,mbpp,fail,0,,0,,0,7.000,4.000,69.820,39.863,1.714,68.337,6.000,0.000,2.000,47.089,49.359,62.500,36.398,89.431,7.000,4.000,68.813,55.507,2.222,123.348,6.000,0.000,1.000,229
mbpp_167,mbpp,fail,1,magic_number,0,,3,12.000,5.000,75.780,197.153,5.765,1136.531,6.000,8.333,1.000,31.127,55.895,54.762,32.619,51.799,8.000,4.000,66.083,89.858,8.571,770.216,3.000,0.000,0.000,307
mbpp_168,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,5.815,35.989,32.000,11.394,42.857,5.000,3.000,74.285,15.510,1.000,15.510,3.000,0.000,0.000,164
mbpp_169,mbpp,pass,1,magic_number,0,,3,13.000,4.000,75.968,125.098,2.857,357.422,5.000,7.692,3.000,17.207,37.347,38.202,22.715,57.325,10.000,3.000,66.718,38.039,2.000,76.078,2.000,0.000,1.000,152
mbpp_170,mbpp,pass,0,,0,,0,2.000,1.000,84.716,4.755,0.500,2.377,0.000,0.000,1.000,14.665,32.522,31.579,13.907,57.627,5.000,2.000,76.473,13.932,0.500,6.966,1.000,0.000,1.000,253
mbpp_171,mbpp,pass,0,,0,,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,0.000,23.283,42.647,44.444,16.717,66.667,4.000,1.000,81.991,4.755,0.500,2.377,0.000,0.000,0.000,98
