model,condition,n,mean_output_tokens,mean_sloc,defects_total,defects_per_100_sloc,pct_with_defect,mean_comment_density,pass_at_1
deepseek,terse,664,209.2,6.12,85,2.091,12.65,5.375,52.71
deepseek,neutral,664,233.8,6.30,85,2.031,12.50,5.879,52.41
deepseek,verbose,664,305.4,7.98,111,2.095,15.96,18.081,50.60
qwen,terse,664,34.9,2.47,30,1.828,4.52,0.052,38.86
qwen,neutral,664,68.9,5.02,66,1.978,9.49,7.049,57.23
qwen,verbose,664,242.0,8.69,106,1.837,14.46,40.682,56.02
claude,terse,664,63.5,4.20,55,1.972,8.13,0.038,89.76
claude,neutral,664,117.0,5.89,71,1.816,10.24,0.152,93.07
claude,verbose,664,742.1,19.50,139,1.074,20.33,39.486,91.11
