smell,measure,family,injected_d,injected_lo,injected_hi,real_d,real_lo,real_hi,capped
deep_nesting,sloc,structural,1.2782,0.974024114228363,1.582375885771637,4.579,4.319113457622868,4.838886542377131,False
deep_nesting,cyclomatic,structural,3.8536,3.385141210619504,4.322058789380496,5.0,,,True
deep_nesting,cognitive,structural,3.5057,3.064265393705976,3.947134606294024,4.695,4.431637134390629,4.958362865609372,False
deep_nesting,maintainability,structural,0.2056,-0.0723172073503906,0.4835172073503906,4.029,3.785000249985103,4.272999750014897,False
deep_nesting,halstead_volume,structural,0.0,-0.27718585822512665,0.27718585822512665,4.627,4.365679929865271,4.8883200701347285,False
deep_nesting,halstead_difficulty,structural,0.0,-0.27718585822512665,0.27718585822512665,5.0,,,True
deep_nesting,halstead_effort,structural,0.0,-0.27718585822512665,0.27718585822512665,4.337,4.0842298952724985,4.589770104727501,False
deep_nesting,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.242,-0.42140925693573794,-0.06259074306426204,False
deep_nesting,api_calls,structural,-0.5915,-0.8746822259411773,-0.3083177740588227,-5.0,,,True
deep_nesting,perplexity,fluency,-0.5161,-0.7978625132143025,-0.2343374867856975,-0.455,-0.6351074846424591,-0.2748925153575409,False
deep_nesting,bleu,similarity,4.5923,4.063742659627964,5.120857340372035,,,,False
deep_nesting,chrf,similarity,2.9079,2.510354663383357,3.305445336616643,,,,False
deep_nesting,rouge_l,similarity,3.6714,3.2172127862567685,4.1255872137432315,,,,False
deep_nesting,codebleu,similarity,5.0,,,,,,True
deep_nesting,ast_similarity,similarity,3.7287,3.2700515853742,4.1873484146258,,,,False
deep_nesting,codebert_score,similarity,4.9104,4.355058736947596,5.465741263052404,,,,False
deep_nesting,bertscore,similarity,5.0,,,,,,True
complex_conditional,sloc,structural,0.4261,0.14578640086353284,0.7064135991364671,2.445,2.2704795776988815,2.619520422301118,False
complex_conditional,cyclomatic,structural,5.0,,,2.545,2.368248509683263,2.721751490316737,True
complex_conditional,cognitive,structural,0.7587,0.47171514129355185,1.0456848587064482,2.336,2.163840448257286,2.5081595517427138,False
complex_conditional,maintainability,structural,0.7794,0.49188289144219605,1.066917108557804,2.889,2.704129941092078,3.0738700589079215,False
complex_conditional,halstead_volume,structural,0.453,0.17228158728718918,0.7337184127128109,2.348,2.1755842538280135,2.5204157461719863,False
complex_conditional,halstead_difficulty,structural,1.4983,1.1846249334812216,1.8119750665187784,3.767,3.558780727289612,3.9752192727103877,False
complex_conditional,halstead_effort,structural,0.454,0.17326607247430886,0.7347339275256912,2.05,1.8836605824735004,2.216339417526499,False
complex_conditional,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.077,-0.22218201577556956,0.06818201577556958,False
complex_conditional,api_calls,structural,-0.0,-0.27718585822512665,0.27718585822512665,-2.535,-2.7115256487554067,-2.3584743512445936,False
complex_conditional,perplexity,fluency,-0.07,-0.34727073339968645,0.20727073339968644,-0.348,-0.49380366056731717,-0.20219633943268278,False
complex_conditional,bleu,similarity,2.9531,2.552367471429583,3.353832528570417,,,,False
complex_conditional,chrf,similarity,2.4691,2.101156591314316,2.837043408685684,,,,False
complex_conditional,rouge_l,similarity,3.0824,2.6724226512902938,3.492377348709706,,,,False
complex_conditional,codebleu,similarity,2.9742,2.5719715902542934,3.376428409745707,,,,False
